Plant_ID,Scientific Name,recordID,scientificName,acceptedName,commonName,regionGroup,primaryMicroregion,fineHabitatTags,fineHabitatSummary,moistureWaterLight,wetlandStatusSummary,confidence,reviewNeeded,publicStatus,publicationNote,sourceUseNote,datasetVersion,lastUpdated,onlineSlug,lbjProfileURL,usdaPlantsURL,fnaSearchURL,fnaDirectCandidateURL,wetlandPlantListURL,nrcsWebSoilSurveyURL,nrcsEDITURL,epaEcoregionsURL,tpwdEMSURL,secondaryMicroregions
Bouteloua gracilis,Bouteloua gracilis,11,Bouteloua gracilis,Bouteloua gracilis,Blue Grama,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Dry; Low , Medium; Sun; Medium; High",,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-gracilis,https://www.wildflower.org/plants/result.php?id_plant=BOGR2,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+gracilis,https://floranorthamerica.org/Special:Search?search=Bouteloua+gracilis,https://floranorthamerica.org/Bouteloua_gracilis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Bouteloua rigidiseta,Bouteloua rigidiseta,12,Bouteloua rigidiseta,Bouteloua rigidiseta,Texas Grama,Upland prairie and open grassland systems,Shallow Upland Prairie,dry upland prairie slope,dry upland prairie slope,Dry; Low; Sun,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,bouteloua-rigidiseta,https://www.wildflower.org/plants/result.php?id_plant=BORI,https://plants.usda.gov/home/basicSearchResults?searchString=Bouteloua+rigidiseta,https://floranorthamerica.org/Special:Search?search=Bouteloua+rigidiseta,https://floranorthamerica.org/Bouteloua_rigidiseta,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Chasmanthium latifolium,Chasmanthium latifolium,13,Chasmanthium latifolium,Chasmanthium latifolium,"Inland Sea Oats, Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats",Upland prairie and open grassland systems,Shallow Upland Prairie,dry upland prairie slope,dry upland prairie slope,"Moist; Medium; Part Shade , Shade; Low","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FACU FACU FACW FACW FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,chasmanthium-latifolium,https://www.wildflower.org/plants/result.php?id_plant=CHLA5,https://plants.usda.gov/home/basicSearchResults?searchString=Chasmanthium+latifolium,https://floranorthamerica.org/Special:Search?search=Chasmanthium+latifolium,https://floranorthamerica.org/Chasmanthium_latifolium,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Riparian Banks
Elymus canadensis,Elymus canadensis,14,Elymus canadensis,Elymus canadensis,Canada Wildrye,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,"Moist; Medium; Sun , Part Shade; High; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FACU FACU FACU FACU FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,elymus-canadensis,https://www.wildflower.org/plants/result.php?id_plant=ELCA4,https://plants.usda.gov/home/basicSearchResults?searchString=Elymus+canadensis,https://floranorthamerica.org/Special:Search?search=Elymus+canadensis,https://floranorthamerica.org/Elymus_canadensis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie
Eragrostis hirsuta,Eragrostis hirsuta,15,Eragrostis hirsuta,Eragrostis hirsuta,Big Top Love Grass,"Ecotone, thicket, and disturbance-edge systems",Ecotone / Edge Thicket,roadside/disturbed sandy clay loam edge,roadside/disturbed sandy clay loam edge,,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU UPL FACU FACU FACU | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,eragrostis-hirsuta,https://www.wildflower.org/plants/result.php?id_plant=ERHI,https://plants.usda.gov/home/basicSearchResults?searchString=Eragrostis+hirsuta,https://floranorthamerica.org/Special:Search?search=Eragrostis+hirsuta,https://floranorthamerica.org/Eragrostis_hirsuta,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Deep Clay Prairie; Shallow Upland Prairie
Eragrostis spectabilis,Eragrostis spectabilis,16,Eragrostis spectabilis,Eragrostis spectabilis,"Purple Lovegrass, Purple Love Grass, Purple Plains Lovegrass, Tumblegrass, Petticoat Climber",Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Moist; Low; Sun; Low,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACU UPL UPL UPL UPL UPL UPL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,eragrostis-spectabilis,https://www.wildflower.org/plants/result.php?id_plant=ERSP,https://plants.usda.gov/home/basicSearchResults?searchString=Eragrostis+spectabilis,https://floranorthamerica.org/Special:Search?search=Eragrostis+spectabilis,https://floranorthamerica.org/Eragrostis_spectabilis,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Eragrostis trichodes,Eragrostis trichodes,17,Eragrostis trichodes,Eragrostis trichodes,"Sand Love Grass, Sand lovegrass",Woodland and karst upland systems,Upland Woodland,upland woodland or shaded understory,upland woodland or shaded understory,Medium; Part Shade; High,,Medium,Optional,Publish with caveat,"Usable for public draft release, but should remain flagged as provisional until optional spot-check or field/GIS support is added.","LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,eragrostis-trichodes,https://www.wildflower.org/plants/result.php?id_plant=ERTR3,https://plants.usda.gov/home/basicSearchResults?searchString=Eragrostis+trichodes,https://floranorthamerica.org/Special:Search?search=Eragrostis+trichodes,https://floranorthamerica.org/Eragrostis_trichodes,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie
Eriochloa sericea,Eriochloa sericea,18,Eriochloa sericea,Eriochloa sericea,Texas Cupgrass,Upland prairie and open grassland systems,Shallow Upland Prairie,sandy/loamy upland prairie or open field,sandy/loamy upland prairie or open field,Dry; Medium; Sun,,High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,eriochloa-sericea,https://www.wildflower.org/plants/result.php?id_plant=ERSE5,https://plants.usda.gov/home/basicSearchResults?searchString=Eriochloa+sericea,https://floranorthamerica.org/Special:Search?search=Eriochloa+sericea,https://floranorthamerica.org/Eriochloa_sericea,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Leersia oryzoides,Leersia oryzoides,19,Leersia oryzoides,Leersia oryzoides,"Rice Cutgrass, Rice Cut Grass","Aquatic, spring-run, and wetland systems",Aquatic / Spring Runs,pond/lake margin or shallow open water,pond/lake margin or shallow open water,Wet; High; Part Shade; Medium,"Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: OBL OBL OBL OBL OBL OBL OBL | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,leersia-oryzoides,https://www.wildflower.org/plants/result.php?id_plant=LEOR,https://plants.usda.gov/home/basicSearchResults?searchString=Leersia+oryzoides,https://floranorthamerica.org/Special:Search?search=Leersia+oryzoides,https://floranorthamerica.org/Leersia_oryzoides,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Upland Woodland
Muhlenbergia lindheimeri,Muhlenbergia lindheimeri,20,Muhlenbergia lindheimeri,Muhlenbergia lindheimeri,"Lindheimer's Muhly, Lindheimer Muhly, Big Muhly, Blue Muhly",Woodland and karst upland systems,Karst Outcrops,rocky calcareous limestone outcrop,rocky calcareous limestone outcrop,"Dry , Moist; Medium; Sun","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FACW | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,muhlenbergia-lindheimeri,https://www.wildflower.org/plants/result.php?id_plant=MULI,https://plants.usda.gov/home/basicSearchResults?searchString=Muhlenbergia+lindheimeri,https://floranorthamerica.org/Special:Search?search=Muhlenbergia+lindheimeri,https://floranorthamerica.org/Muhlenbergia_lindheimeri,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,
Muhlenbergia reverchonii,Muhlenbergia reverchonii,21,Muhlenbergia reverchonii,Muhlenbergia reverchonii,Seep Muhly,Woodland and karst upland systems,Karst Outcrops,gravelly calcareous slope or terrace,gravelly calcareous slope or terrace,"Dry , Moist; Medium; Sun; High","Region: AGCP AK AW CB EMP GP HI MW NCNE WMVE Status: FAC FAC FAC | This information is derived from: U.S. Army Corps of Engineers. (2023). 2022 National Wetland Plant List, version 3.6. U.S. Army Engineer Research and Development Center, Vicksburg, MS. | https://wetland-plants.usace.army.mil/ | . | Click here | for map of regions.",High,No,Publish now,Literature-supported microregion assignment; field/GIS confirmation can be added in a later release.,"LBJ/USDA/FNA/USACE support species habitat traits; NRCS/EPA/TPWD links support site/soil/ecoregion/vegetation validation, not species identity.",v1-online-public-draft,2026-05-27,muhlenbergia-reverchonii,https://www.wildflower.org/plants/result.php?id_plant=MURE2,https://plants.usda.gov/home/basicSearchResults?searchString=Muhlenbergia+reverchonii,https://floranorthamerica.org/Special:Search?search=Muhlenbergia+reverchonii,https://floranorthamerica.org/Muhlenbergia_reverchonii,https://wetland-plants.sec.usace.army.mil/,https://websoilsurvey.nrcs.usda.gov/app/,https://edit.sc.egov.usda.gov/,https://www.epa.gov/eco-research/ecoregions,https://tpwd.texas.gov/landwater/land/programs/landscape-ecology/ems/,Shallow Upland Prairie
