canonical_name,alias,record_type,source_id,notes
Amberwood Detention Pond,Amberwood Detention Pond,site,PARD-PVT-35,direct name from Parks.geojson
Lakeside Crossing MHP,Lakeside Crossing MHP,site,PARD-PVT-36,direct name from Parks.geojson
Hometown Kyle,Hometown Kyle,site,PARD-PVT-37,direct name from Parks.geojson
Hometown Kyle Trails,Hometown Kyle Trails,site,PARD-PVT-38,direct name from Parks.geojson
Brooks Crossing,Brooks Crossing,site,PARD-PVT-39,direct name from Parks.geojson
Kensington Trails Pool,Kensington Trails Pool,site,PARD-PVT-40,direct name from Parks.geojson
Meadows at Kyle,Meadows at Kyle,site,PARD-PVT-41,direct name from Parks.geojson
Steeplechase Greenbelt,Steeplechase Greenbelt,site,PARD-PVT-42,direct name from Parks.geojson
Saddle Creek Apts,Saddle Creek Apts,site,PARD-PVT-43,direct name from Parks.geojson
Park at Steeplechase,Park at Steeplechase,site,PARD-PVT-44,direct name from Parks.geojson
Park at Steeplechase,at Steeplechase,site,PARD-PVT-44,auto-generated short alias; review before public use
Cypress Forest,Cypress Forest,site,PARD-PVT-45,direct name from Parks.geojson
Silverado,Silverado,site,PARD-PVT-46,direct name from Parks.geojson
Silverado,Silverado,site,PARD-PVT-47,direct name from Parks.geojson
Springbranch Vybe,Springbranch Vybe,site,PARD-PVT-48,direct name from Parks.geojson
Hometown Kyle,Hometown Kyle,site,PARD-PVT-50,direct name from Parks.geojson
Southlake Ranch,Southlake Ranch,site,PARD-PVT-53,direct name from Parks.geojson
Southlake Ranch,Southlake Ranch,site,PARD-PVT-54,direct name from Parks.geojson
Vantage Apts,Vantage Apts,site,PARD-PVT-56,direct name from Parks.geojson
Waterleaf,Waterleaf,site,PARD-PVT-57,direct name from Parks.geojson
Waterleaf,Waterleaf,site,PARD-PVT-58,direct name from Parks.geojson
Waterleaf,Waterleaf,site,PARD-PVT-59,direct name from Parks.geojson
Woodlands,Woodlands,site,PARD-PVT-60,direct name from Parks.geojson
Woodlands,Woodlands,site,PARD-PVT-61,direct name from Parks.geojson
Post Oak,Post Oak,site,PARD-PVT-62,direct name from Parks.geojson
Brookside,Brookside,site,PARD-UNDEV-65,direct name from Parks.geojson
Crosswinds,Crosswinds,site,PARD-PVT-69,direct name from Parks.geojson
Cool Springs,Cool Springs,site,PARD-PVT-70,direct name from Parks.geojson
Bunton Creek,Bunton Creek,site,PARD-PRK-71,direct name from Parks.geojson
Creekside Village (Coming Soon),Creekside Village (Coming Soon),site,PARD-PVT-72,direct name from Parks.geojson
Bunton Creek,Bunton Creek,site,PARD-PRK-73,direct name from Parks.geojson
Stagecoach Subdivision,Stagecoach Subdivision,site,PARD-PVT-75,direct name from Parks.geojson
Cool Springs Lot 2F,Cool Springs Lot 2F,site,PARD-UNDEV-76,direct name from Parks.geojson
Cool Springs,Cool Springs,site,PARD-PVT-77,direct name from Parks.geojson
Cool Springs Lot 31E,Cool Springs Lot 31E,site,PARD-UNDEV-78,direct name from Parks.geojson
Bunton Creek Reserve Drainage,Bunton Creek Reserve Drainage,site,PARD-PVT-79,direct name from Parks.geojson
Bunton Creek Reserve Drainage,Bunton Creek Reserve Drainage,site,PARD-PVT-80,direct name from Parks.geojson
Bunton Creek Reserve Drainage,Bunton Creek Reserve Drainage,site,PARD-PVT-81,direct name from Parks.geojson
Bunton Creek,Bunton Creek,site,PARD-PRK-82,direct name from Parks.geojson
Bunton Creek Reserve,Bunton Creek Reserve,site,PARD-PRK-83,direct name from Parks.geojson
Brookside Access,Brookside Access,site,PARD-UNDEV-84,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-85,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-86,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-87,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-88,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-89,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-90,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-91,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-92,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-93,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-94,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-95,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-96,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-97,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-98,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-99,direct name from Parks.geojson
Plum Creek 6H,Plum Creek 6H,site,PARD-PVT-100,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-101,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-102,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-103,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-104,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-105,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-106,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-107,direct name from Parks.geojson
Plum Creek 6B,Plum Creek 6B,site,PARD-PVT-108,direct name from Parks.geojson
Plum Creek 6E2,Plum Creek 6E2,site,PARD-PVT-109,direct name from Parks.geojson
Plum Creek 6E2,Plum Creek 6E2,site,PARD-PVT-110,direct name from Parks.geojson
Plum Creek 6E2,Plum Creek 6E2,site,PARD-PVT-111,direct name from Parks.geojson
Plum Creek 6E2,Plum Creek 6E2,site,PARD-PVT-112,direct name from Parks.geojson
Plum Creek 6D,Plum Creek 6D,site,PARD-PVT-113,direct name from Parks.geojson
Plum Creek 6D,Plum Creek 6D,site,PARD-PVT-114,direct name from Parks.geojson
Plum Creek 6D,Plum Creek 6D,site,PARD-PVT-115,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-116,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-117,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-118,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-119,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-120,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-121,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-122,direct name from Parks.geojson
Brookside,Brookside,site,PARD-PVT-123,direct name from Parks.geojson
Plum Creek 1G2,Plum Creek 1G2,site,PARD-PVT-124,direct name from Parks.geojson
Sunset Hills Phase 1,Sunset Hills Phase 1,site,PARD-PVT-125,direct name from Parks.geojson
Plum Creek 5A,Plum Creek 5A,site,PARD-PVT-126,direct name from Parks.geojson
Plum Creek,Plum Creek,site,PARD-PVT-127,direct name from Parks.geojson
Plum Creek,Plum Creek,site,PARD-PVT-128,direct name from Parks.geojson
Plum Creek 4B,Plum Creek 4B,site,PARD-PVT-129,direct name from Parks.geojson
Hometown Trails,Hometown Trails,site,PARD-PRK-130,direct name from Parks.geojson
Hometown Trails,Hometown Trails,site,PARD-PRK-131,direct name from Parks.geojson
Hometown Trails,Hometown Trails,site,PARD-PRK-132,direct name from Parks.geojson
Plum Creek Preserve,Plum Creek Preserve,site,PARD-UNDEV-133,direct name from Parks.geojson
Paramount,Paramount,site,PARD-PVT-134,direct name from Parks.geojson
Plum Creek RV Park 1,Plum Creek RV Park 1,site,PARD-PVT-135,direct name from Parks.geojson
Plum Creek RV Park 1,Plum Creek RV  1,site,PARD-PVT-135,auto-generated short alias; review before public use
Plum Creek RV Park 2,Plum Creek RV Park 2,site,PARD-PVT-136,direct name from Parks.geojson
Plum Creek RV Park 2,Plum Creek RV  2,site,PARD-PVT-136,auto-generated short alias; review before public use
Limestone Creek,Limestone Creek,site,PARD-PVT-137,direct name from Parks.geojson
Plum Creek Phase 2 Amenity Center,Plum Creek Phase 2 Amenity Center,site,PARD-PVT-138,direct name from Parks.geojson
La Verde,La Verde,site,PARD-PRK-139,direct name from Parks.geojson
Heroes Memorial Park,Heroes Memorial Park,site,PARD-PRK-140,direct name from Parks.geojson
Heroes Memorial Park,Heroes Memorial,site,PARD-PRK-140,auto-generated short alias; review before public use
Porter Country Amenity Center,Porter Country Amenity Center,site,PARD-PVT-141,direct name from Parks.geojson
Casetta Ranch Amenity Center,Casetta Ranch Amenity Center,site,PARD-PVT-142,direct name from Parks.geojson
Sunset Ridge Amenity Center,Sunset Ridge Amenity Center,site,PARD-PVT-143,direct name from Parks.geojson
Talavera Amenity Center,Talavera Amenity Center,site,PARD-PVT-144,direct name from Parks.geojson
Sage Hollow,Sage Hollow,site,PARD-PVT-145,direct name from Parks.geojson
Brooks Ranch,Brooks Ranch,site,PARD-PVT-146,direct name from Parks.geojson
Masonwood,Masonwood,site,PARD-UNDEV-147,direct name from Parks.geojson
Sportsplex,Sportsplex,site,PARD-PRK-148,direct name from Parks.geojson
Post Oak,Post Oak,site,PARD-PRK-149,direct name from Parks.geojson
Lake Kensington,Lake Kensington,site,PARD-UNDEV-85,direct name from Parks.geojson
2000 Dacy Ln,2000 Dacy Ln,site,PARD-UNDEV-87,direct name from Parks.geojson
Sportsplex,Sportsplex,site,PARD-UNDEV-88,direct name from Parks.geojson
Sportsplex,Sportsplex,site,PARD-UNDEV-89,direct name from Parks.geojson
Sunset Ridge,Sunset Ridge,site,PARD-UNDEV-90,direct name from Parks.geojson
Goforth Rd,Goforth Rd,site,PARD-UNDEV-36,direct name from Parks.geojson
1408 W Center St,1408 W Center St,site,PARD-UNDEV-35,direct name from Parks.geojson
Clara Vista Amenity Center,Clara Vista Amenity Center,site,PARK_OBJECTID_555,direct name from Parks.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-2,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-3,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-4,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-5,direct PARK/area label from VybeTrails.geojson
GreggClarke,GreggClarke,trail_area,PARD-TRL-6,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-7,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-10,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-20,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-31,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-32,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-33,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-34,direct PARK/area label from VybeTrails.geojson
Bunton Creek,Bunton Creek,trail_area,PARD-TRL-36,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-39,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-42,direct PARK/area label from VybeTrails.geojson
Bunton Reserve,Bunton Reserve,trail_area,PARD-TRL-44,direct PARK/area label from VybeTrails.geojson
Lehman Farm,Lehman Farm,trail_area,PARD-TRL-48,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-49,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-50,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-51,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-52,direct PARK/area label from VybeTrails.geojson
Six Creeks,Six Creeks,trail_area,PARD-TRL-53,direct PARK/area label from VybeTrails.geojson
Steeplechase,Steeplechase,trail_area,PARD-TRL-55,direct PARK/area label from VybeTrails.geojson
Steeplechase,Steeplechase,trail_area,PARD-TRL-56,direct PARK/area label from VybeTrails.geojson
Steeplechase,Steeplechase,trail_area,PARD-TRL-57,direct PARK/area label from VybeTrails.geojson
Steeplechase,Steeplechase,trail_area,PARD-TRL-58,direct PARK/area label from VybeTrails.geojson
Pecan Woods,Pecan Woods,trail_area,PARD-TRL-59,direct PARK/area label from VybeTrails.geojson
Brookside,Brookside,trail_area,PARD-TRL-61,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-62,direct PARK/area label from VybeTrails.geojson
Brookside Connector,Brookside Connector,trail_area,PARD-TRL-65,direct PARK/area label from VybeTrails.geojson
Prairie on the Creek,Prairie on the Creek,trail_area,PARD-TRL-69,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-70,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-71,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-73,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-74,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-77,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-79,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-471,direct PARK/area label from VybeTrails.geojson
Cool Springs,Cool Springs,trail_area,PARD-TRL-472,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-473,direct PARK/area label from VybeTrails.geojson
Bunton Reserve,Bunton Reserve,trail_area,PARD-TRL-474,direct PARK/area label from VybeTrails.geojson
Bunton Reserve,Bunton Reserve,trail_area,PARD-TRL-476,direct PARK/area label from VybeTrails.geojson
Six Creeks,Six Creeks,trail_area,PARD-TRL-480,direct PARK/area label from VybeTrails.geojson
Talavera,Talavera,trail_area,PARD-TRL-488,direct PARK/area label from VybeTrails.geojson
Marketplace,Marketplace,trail_area,PARD-TRL-495,direct PARK/area label from VybeTrails.geojson
Seton,Seton,trail_area,PARD-TRL-496,direct PARK/area label from VybeTrails.geojson
Dacy Ln,Dacy Ln,trail_area,PARD-TRL-503,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-504,direct PARK/area label from VybeTrails.geojson
Cool Springs,Cool Springs,trail_area,PARD-TRL-505,direct PARK/area label from VybeTrails.geojson
Main St,Main St,trail_area,PARD-TRL-506,direct PARK/area label from VybeTrails.geojson
Cromwell,Cromwell,trail_area,PARD-TRL-508,direct PARK/area label from VybeTrails.geojson
Heroes Memorial,Heroes Memorial,trail_area,PARD-TRL-509,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-517,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-518,direct PARK/area label from VybeTrails.geojson
Cromwell,Cromwell,trail_area,PARD-TRL-519,direct PARK/area label from VybeTrails.geojson
Walton,Walton,trail_area,PARD-TRL-909,direct PARK/area label from VybeTrails.geojson
Six Creeks,Six Creeks,trail_area,PARD-TRL-911,direct PARK/area label from VybeTrails.geojson
Six Creeks,Six Creeks,trail_area,PARD-TRL-913,direct PARK/area label from VybeTrails.geojson
N Burleson Rd,N Burleson Rd,trail_area,PARD-TRL-917,direct PARK/area label from VybeTrails.geojson
James Adkins Dr,James Adkins Dr,trail_area,PARD-TRL-919,direct PARK/area label from VybeTrails.geojson
N Burleson,N Burleson,trail_area,PARD-TRL-921,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,PARD-TRL-923,direct PARK/area label from VybeTrails.geojson
Marketplace Ave,Marketplace Ave,trail_area,PARD-TRL-925,direct PARK/area label from VybeTrails.geojson
Dacy Ln,Dacy Ln,trail_area,PARD-TRL-931,direct PARK/area label from VybeTrails.geojson
Brookside,Brookside,trail_area,PARD-TRL-936,direct PARK/area label from VybeTrails.geojson
N Burleson Rd,N Burleson Rd,trail_area,PARD-TRL-938,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-939,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-941,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-942,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-943,direct PARK/area label from VybeTrails.geojson
Hometown,Hometown,trail_area,PARD-TRL-944,direct PARK/area label from VybeTrails.geojson
Gregg Clarke Park,Gregg Clarke Park,trail_area,PARD-TRL-945,direct PARK/area label from VybeTrails.geojson
Gregg Clarke Park,Gregg Clarke Park,trail_area,PARD-TRL-947,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,PARD-TRL-948,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-949,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-950,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-951,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-952,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-953,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-954,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-956,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-957,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-958,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-959,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-960,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-961,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-962,direct PARK/area label from VybeTrails.geojson
N Old Stagecoach Rd,N Old Stagecoach Rd,trail_area,PARD-TRL-963,direct PARK/area label from VybeTrails.geojson
N Old Stagecoach Rd,N Old Stagecoach Rd,trail_area,PARD-TRL-964,direct PARK/area label from VybeTrails.geojson
Center St,Center St,trail_area,PARD-TRL-972,direct PARK/area label from VybeTrails.geojson
Scott St,Scott St,trail_area,PARD-TRL-974,direct PARK/area label from VybeTrails.geojson
Kohlers Crossing,Kohlers Crossing,trail_area,PARD-TRL-994,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-1007,direct PARK/area label from VybeTrails.geojson
Cromwell,Cromwell,trail_area,PARD-TRL-1009,direct PARK/area label from VybeTrails.geojson
Rastegar,Rastegar,trail_area,PARD-TRL-1010,direct PARK/area label from VybeTrails.geojson
Pecan Woods,Pecan Woods,trail_area,PARD-TRL-1013,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1015,direct PARK/area label from VybeTrails.geojson
Dacy Ln,Dacy Ln,trail_area,PARD-TRL-1021,direct PARK/area label from VybeTrails.geojson
Main St,Main St,trail_area,PARD-TRL-1023,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1024,direct PARK/area label from VybeTrails.geojson
Lake Kyle,Lake Kyle,trail_area,PARD-TRL-1025,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1032,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1033,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1035,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1038,direct PARK/area label from VybeTrails.geojson
No Easement,No Easement,trail_area,PARD-TRL-1040,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-1045,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-1046,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-1047,direct PARK/area label from VybeTrails.geojson
Waterleaf,Waterleaf,trail_area,PARD-TRL-1051,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-1054,direct PARK/area label from VybeTrails.geojson
Plum Creek Trail,Plum Creek Trail,trail_area,PARD-TRL-1055,direct PARK/area label from VybeTrails.geojson
Lehman Rd Extension,Lehman Rd Extension,trail_area,PARD-TRL-1057,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-1063,direct PARK/area label from VybeTrails.geojson
Marketplace Ave,Marketplace Ave,trail_area,PARD-TRL-1064,direct PARK/area label from VybeTrails.geojson
Sage Hollow,Sage Hollow,trail_area,PARD-TRL-1065,direct PARK/area label from VybeTrails.geojson
Sage Hollow,Sage Hollow,trail_area,PARD-TRL-1066,direct PARK/area label from VybeTrails.geojson
Philomena,Philomena,trail_area,PARD-TRL-1067,direct PARK/area label from VybeTrails.geojson
Sage Hollow,Sage Hollow,trail_area,PARD-TRL-1068,direct PARK/area label from VybeTrails.geojson
Marketplace Ave,Marketplace Ave,trail_area,PARD-TRL-1069,direct PARK/area label from VybeTrails.geojson
Marketplace Ave,Marketplace Ave,trail_area,PARD-TRL-1070,direct PARK/area label from VybeTrails.geojson
Cool Springs,Cool Springs,trail_area,PARD-TRL-1071,direct PARK/area label from VybeTrails.geojson
Center St,Center St,trail_area,PARD-TRL-1072,direct PARK/area label from VybeTrails.geojson
Marketplace,Marketplace,trail_area,PARD-TRL-1073,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-1074,direct PARK/area label from VybeTrails.geojson
Dacy Ln,Dacy Ln,trail_area,PARD-TRL-1075,direct PARK/area label from VybeTrails.geojson
Philomena,Philomena,trail_area,PARD-TRL-1076,direct PARK/area label from VybeTrails.geojson
FM 2770,FM 2770,trail_area,PARD-TRL-1078,direct PARK/area label from VybeTrails.geojson
Remove from Plan,Remove from Plan,trail_area,PARD-TRL-1471,direct PARK/area label from VybeTrails.geojson
N Old Stagecoach Rd,N Old Stagecoach Rd,trail_area,PARD-TRL-1478,direct PARK/area label from VybeTrails.geojson
Six Creeks,Six Creeks,trail_area,PARD-TRL-1479,direct PARK/area label from VybeTrails.geojson
Main St,Main St,trail_area,PARD-TRL-1481,direct PARK/area label from VybeTrails.geojson
Dacy Ln,Dacy Ln,trail_area,PARD-TRL-1488,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-1495,direct PARK/area label from VybeTrails.geojson
Proposed,Proposed,trail_area,PARD-TRL-74,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1898,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1899,direct PARK/area label from VybeTrails.geojson
Add to Plan,Add to Plan,trail_area,TRAIL_OBJECTID_1900,direct PARK/area label from VybeTrails.geojson
