site_id,site_name,site_type_standard,site_type_source,owner,city_owned,address,acres,developed_acres,undeveloped_acres,year_dedicated,amenity_playground,amenity_tables,amenity_pool,amenity_baseball,amenity_basketball,amenity_soccer,dfz,comments,geometry_type,center_lat,center_lon,bbox_west,bbox_south,bbox_east,bbox_north,source_file,dashboard_use,gpt_use_note
PARD-PVT-12,Hometown Kyle,hoa_open_space,HOA,RH of Texas LTD Partnership,no,Hawthorn Dr,2.40978751,,,,,1,,,,,,,Polygon,30.0003393,-97.8872545,-97.8878938,29.9997785,-97.8866153,30.0009002,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-13,Kyle Vista Park,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Sunflower Cir,39.71956712,0,42,2006,,,,,,,,A,Polygon,30.0204795,-97.8381882,-97.8416565,30.0179041,-97.8347199,30.0230549,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-14,Lake Kyle,public_park,Public,City of Kyle,yes,700 Lehman Rd,118.40012318,20,99,2011,1,7,,,,,Yes,A,Polygon,29.9849058,-97.8606979,-97.867285,29.9813136,-97.8541107,29.988498,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-15,Linebarger Lake,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Arbor Knot Dr,45.68369126,0,52,2008,,,,,,,,A,Polygon,29.977035,-97.8589865,-97.8627812,29.9741665,-97.8551918,29.9799036,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-16,Plum Creek (Utterback),hoa_open_space,HOA,Plum Creek HOA,no,Utterback,0.91909149,,,,1,,,,,,,,MultiPolygon,30.0187315,-97.8887289,-97.8893669,30.0183307,-97.8880909,30.0191324,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-17,Hometown Kyle Trails,hoa_open_space,HOA,Hometown HOA,no,,3.81840733,,,,,,,,,,,,MultiPolygon,29.9987987,-97.8908365,-97.8935264,29.9962207,-97.8881467,30.0013768,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-18,Indian Paintbrush,hoa_open_space,HOA,Indian Paintbrush HOA,no,,2.76142127,,,,,,,,,,,Open Space,Polygon,30.0270208,-97.8376041,-97.838519,30.0263171,-97.8366891,30.0277245,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-19,Steeplechase Park,public_park,Public,City of Kyle,yes,295 Halle Dr,39.60231707,31,0,2002,2,8,0,2,1,1,Yes,A,Polygon,29.9944403,-97.8595153,-97.8624425,29.9907008,-97.8565881,29.9981798,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-21,Waterleaf HOA Pool,hoa_open_space,HOA,Waterleaf Falls HOA,no,330 Sheep Trail Dr,4.02930453,,,,1,2,1,,1,,Yes,,Polygon,29.9688507,-97.842677,-97.8433798,29.9681399,-97.8419742,29.9695615,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-22,Oso Oro,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Creekside Trl,3.87974031,0,4,2008,,,,,,,,Open Space,Polygon,29.9762881,-97.8561949,-97.8571349,29.9754878,-97.8552549,29.9770884,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-23,Four Seasons Farm,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Estival Cir,4.57185938,0,5,,,,,,,,,Open Space,Polygon,29.9820243,-97.8599502,-97.8611,29.9812117,-97.8588005,29.9828369,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-25,Seton Park & Trail,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,2001 Dacy Ln,44.88805297,0,45,08??,,,,,,,,A,Polygon,30.0122253,-97.8517132,-97.8579243,30.0084597,-97.845502,30.015991,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-26,Bunton Creek Pool,hoa_open_space,HOA,Bunton Creek HOA,no,,6.3435643,,,,1,,1,,,,Yes,,Polygon,29.9836185,-97.8352329,-97.8365139,29.9822703,-97.8339519,29.9849666,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-27,Bunton Creek Ball Field,hoa_open_space,HOA,Bunton Creek HOA,no,,13.03010429,,,,,,,,,,,,Polygon,29.9842648,-97.8343004,-97.8361129,29.982588,-97.832488,29.9859416,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-28,Hometown Kyle Trails,hoa_open_space,HOA,Hometown HOA,no,,0.77043492,,,,,,,,,,,,Polygon,30.0048688,-97.8933115,-97.8944969,30.0044718,-97.8921261,30.0052659,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-29,Indian Paintbrush Greenbelt/Pond,hoa_open_space,HOA,Indian Paintbrush HOA,no,,4.34474029,,,,,,,,,,,Open Space,Polygon,30.0297962,-97.8362273,-97.8370668,30.0277667,-97.8353878,30.0318256,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-30,Kensington Trails Open Space,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Covent Dr,12.64586886,0,,,,,,,,,,Open Space,Polygon,30.0029181,-97.8368327,-97.8384938,30.000968,-97.8351716,30.0048683,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-31,Plum Creek Pool (Haupt),hoa_open_space,HOA,,no,,5.91086833,,,,1,,1,,,,Yes,,Polygon,30.0153202,-97.8843326,-97.8854896,30.0143561,-97.8831755,30.0162842,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-32,Plum Creek Park (Sampson),hoa_open_space,HOA,,no,,1.6143506,,,,1,,,,,,Yes,,Polygon,30.0132629,-97.8772404,-97.8777323,30.0127827,-97.8767485,30.0137431,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-33,Plum Creek (Kirby Circle),hoa_open_space,HOA,Plum Creek HOA,no,,4.3946269,,,,1,,,,,,,,Polygon,30.0259313,-97.8872583,-97.8879951,30.0252524,-97.8865215,30.0266102,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-34,Kyle Train Depot,public_park,Public,City of Kyle,yes,101 N Front St,0.50049961,5,0,,,,,,,,,A,Polygon,29.9889936,-97.8749624,-97.875144,29.9885449,-97.8747809,29.9894423,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-35,Amberwood Detention Pond,hoa_open_space,HOA,Community of Amberwood HOA,no,Cherrywood,4.89783682,,5,2004,,,,,,,,,Polygon,30.0270169,-97.8390709,-97.8400378,30.0261663,-97.8381041,30.0278675,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-36,Lakeside Crossing MHP,hoa_open_space,HOA,,no,229 Fountain Grove Dr,4.95188064,4,,,,,,,,,,,Polygon,30.0167404,-97.8441993,-97.8452733,30.0158759,-97.8431253,30.017605,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-37,Hometown Kyle,hoa_open_space,HOA,,no,Camelia Pkwy,0.97318596,,1,,,,,,,,,,Polygon,30.0031104,-97.8911869,-97.8917646,30.0028287,-97.8906092,30.0033922,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-38,Hometown Kyle Trails,hoa_open_space,HOA,Hometown HOA,no,Bottle Brush Dr,0.71564854,1,,,1,,,,,,,,Polygon,30.0046273,-97.8901785,-97.8905393,30.0037671,-97.8898176,30.0054874,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-39,Brooks Crossing,hoa_open_space,HOA,Brooks Crossing,no,294 Bowie Dr,8.42852898,9,,2015,,,,,,,,Open Space,Polygon,30.0040151,-97.8840888,-97.8865539,30.0030563,-97.8816237,30.0049738,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-40,Kensington Trails Pool,hoa_open_space,HOA,Kensington Trails,no,700 Downing Way,0.49675401,0,,2015,1,,1,,,,,,Polygon,30.0070244,-97.8345213,-97.8348349,30.0067266,-97.8342077,30.0073221,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-41,Meadows at Kyle,hoa_open_space,HOA,Meadows at Kyle,no,160 Northern Flicker St,1.83071239,2,,2016,,,1,,,,,,Polygon,30.0346403,-97.8358873,-97.8366493,30.0339932,-97.8351254,30.0352875,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-42,Steeplechase Greenbelt,hoa_open_space,HOA,Steeplechase,no,Brandi Cir,9.75539487,,10,,,,,,,,,Pond,Polygon,29.9965636,-97.8538069,-97.8552461,29.9951918,-97.8523676,29.9979354,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-43,Saddle Creek Apts,hoa_open_space,HOA,Saddle Creek Apts,no,21393 IH 35,0.37146578,,,,1,,,,,,,,Polygon,30.0000223,-97.864335,-97.8647172,29.9996981,-97.8639527,30.0003466,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-44,Park at Steeplechase,hoa_open_space,HOA,Park at Steeplechase,no,Ruidoso,3.58949857,4,,,,,,,,,,Open Space,Polygon,30.0008867,-97.8637454,-97.8650154,29.9995198,-97.8624754,30.0022537,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-45,Cypress Forest,hoa_open_space,HOA,,no,Cibola Dr,16.41256868,,,,,,,,,,,,Polygon,29.9930305,-97.898522,-97.9005849,29.990641,-97.8964592,29.9954201,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-46,Silverado,hoa_open_space,HOA,,no,Rodeo Cv,2.83024917,,,,,,,,,,,Open Space,Polygon,29.997225,-97.8774469,-97.878241,29.9965313,-97.8766529,29.9979187,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-47,Silverado,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Western Cv,7.31819031,,,,,,,,,,,Open Space,Polygon,30.0052276,-97.8814919,-97.8829261,30.003237,-97.8800576,30.0072182,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-48,Springbranch Vybe,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Spring Branch Dr,7.63421254,,,,,,,,,,,Open Space,MultiPolygon,30.0049191,-97.8776479,-97.8803918,30.003623,-97.874904,30.0062152,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-50,Hometown Kyle,hoa_open_space,HOA,,no,Chaparro Dr,0.25703041,,,,,,,,,,,,Polygon,29.9956423,-97.8900366,-97.890284,29.9950449,-97.8897892,29.9962396,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-53,Southlake Ranch,hoa_open_space,HOA,,no,,4.68865848,,,,,,,,,,,Open Space,MultiPolygon,29.9984806,-97.8447543,-97.8473838,29.9965303,-97.8421248,30.000431,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-54,Southlake Ranch,hoa_open_space,HOA,,no,350 SPILLWAY DR,37.44170848,,,,,,,,,,,Open Space,Polygon,30.0021894,-97.8407661,-97.843627,29.9997718,-97.8379053,30.004607,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-56,Vantage Apts,hoa_open_space,HOA,,no,4925 Cromwell Dr,0.58081951,,,,,,1,,,,,,Polygon,30.0170441,-97.8715836,-97.8719396,30.0167158,-97.8712276,30.0173724,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-57,Waterleaf,hoa_open_space,HOA,,no,Wateleaf Blvd,14.91435686,,,,,,,,,,,Open Space,MultiPolygon,29.964162,-97.8421557,-97.84674,29.9622165,-97.8375714,29.9661075,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-58,Waterleaf,hoa_open_space,HOA,,no,Gina Dr,13.7974813,,,,,,,,,,,Open Space,MultiPolygon,29.967224,-97.846934,-97.8503442,29.9645117,-97.8435238,29.9699363,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-59,Waterleaf,hoa_open_space,HOA,,no,160 New Bridge Dr,0.35362015,,,,,,,,,,,Open Space,Polygon,29.9646865,-97.8486864,-97.849073,29.9642928,-97.8482997,29.9650802,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-60,Woodlands,hoa_open_space,HOA,,no,160 Valruth Dr,4.32850423,,,,,,,,,,,Open Space,Polygon,29.9613262,-97.8475738,-97.8488208,29.9604835,-97.8463268,29.9621689,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-61,Woodlands,hoa_open_space,HOA,,no,1524 Woodlands Dr,1.05010796,,,,1,,1,,,,,,Polygon,29.9561539,-97.8500287,-97.8504948,29.955748,-97.8495626,29.9565598,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-62,Post Oak,hoa_open_space,HOA,,no,101 Lox,2.2540052,,,,,,,,,,,,MultiPolygon,29.9741173,-97.8622513,-97.8631209,29.9733831,-97.8613818,29.9748515,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-65,Brookside,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Ferrule Dr,0.48401911,,,2016,,,,,,,,Open Space,Polygon,29.9815357,-97.8594171,-97.8597356,29.9811259,-97.8590986,29.9819456,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-69,Crosswinds,hoa_open_space,HOA,,no,,105.34198492,,,,,,,,,,,,MultiPolygon,30.0214733,-97.8175702,-97.8250968,30.0124983,-97.8100436,30.0304484,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-70,Cool Springs,hoa_open_space,HOA,,no,,2.21146739,,,,,,,,,,,,Polygon,29.9561454,-97.8547136,-97.8554501,29.955576,-97.8539771,29.9567149,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-71,Bunton Creek,public_park,Public,City of Kyle,yes,160 Isabel Ln,7.66782929,,,,,,,,,,,p,MultiPolygon,29.9785626,-97.8419623,-97.8444018,29.9759694,-97.8395228,29.9811558,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-72,Creekside Village (Coming Soon),hoa_open_space,HOA,,no,,9.15061386,,,,,,,,,,,,Polygon,30.0048547,-97.8733719,-97.875114,30.0035702,-97.8716298,30.0061393,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-73,Bunton Creek,public_park,Public,City of Kyle,yes,Twin Estates Dr,16.84259417,0,,,,,,,,,,p,Polygon,29.9787238,-97.8450541,-97.8471281,29.9769754,-97.8429802,29.9804723,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-75,Stagecoach Subdivision,hoa_open_space,HOA,,no,275 CONESTOGA DR,1.52316051,2,,2018,,,,,,,,,Polygon,29.9861179,-97.8883923,-97.8889842,29.9857514,-97.8878005,29.9864845,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-76,Cool Springs Lot 2F,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Cool Springs Blvd,9.40716814,,9,2017,,,,,,,,A,Polygon,29.9615448,-97.8498137,-97.8520108,29.9605871,-97.8476165,29.9625025,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-77,Cool Springs,hoa_open_space,HOA,,no,Mineral Springs Dr,0.80575729,1,,2017,,,,,,,,,Polygon,29.9612871,-97.8524129,-97.8528558,29.96094,-97.85197,29.9616342,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-78,Cool Springs Lot 31E,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,Cool Springs Blvd,9.86155421,,10,,,,,,,,,A,Polygon,29.9610636,-97.8538432,-97.8555719,29.9600002,-97.8521145,29.9621271,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-79,Bunton Creek Reserve Drainage,hoa_open_space,HOA,,no,,1.76270831,,,,,,,,,,,,Polygon,29.9743138,-97.8391243,-97.8399456,29.9736336,-97.8383029,29.9749941,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-80,Bunton Creek Reserve Drainage,hoa_open_space,HOA,,no,,6.36929172,,,,,,,,,,,,Polygon,29.9830651,-97.8321854,-97.8335053,29.982251,-97.8308656,29.9838792,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-81,Bunton Creek Reserve Drainage,hoa_open_space,HOA,,no,,4.45097313,,,,,,,,,,,,Polygon,29.9823825,-97.8322501,-97.8340257,29.981632,-97.8304746,29.983133,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-82,Bunton Creek,public_park,Public,City of Kyle,yes,Isabel Ln,0.60898577,,,,,,,,,,,b,Polygon,29.9757173,-97.8424581,-97.8430149,29.9752836,-97.8419013,29.9761511,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PRK-83,Bunton Creek Reserve,public_park,Public,City of Kyle,yes,980 Bunton Reserve Blvd,0.4960037,,,,,,,,,,,p,Polygon,29.97526,-97.8417349,-97.8420544,29.9749974,-97.8414154,29.9755227,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-UNDEV-84,Brookside Access,undeveloped_park_or_open_space,Public-Undeveloped,City of Kyle,yes,E RR 150,3.81309166,,,2018,,,,,,,,,MultiPolygon,29.9804986,-97.8598211,-97.8643515,29.9772524,-97.8552908,29.9837447,Parks.geojson,yes,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-85,Plum Creek 6H,hoa_open_space,HOA,,no,,0.51404034,,,,,,,,,,,,Polygon,30.0200583,-97.8876327,-97.8879233,30.0197573,-97.887342,30.0203594,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-86,Plum Creek 6H,hoa_open_space,HOA,,no,,0.69123076,,,,,,,,,,,,Polygon,30.0211437,-97.8864358,-97.8870007,30.0205549,-97.8858709,30.0217325,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-87,Plum Creek 6H,hoa_open_space,HOA,,no,,0.04130493,,,,,,,,,,,,Polygon,30.0195947,-97.8831406,-97.8832093,30.019358,-97.8830719,30.0198315,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-88,Plum Creek 6H,hoa_open_space,HOA,,no,,0.64504168,,,,,,,,,,,,Polygon,30.0197865,-97.8860568,-97.8874308,30.0189675,-97.8846829,30.0206056,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-89,Plum Creek 6H,hoa_open_space,HOA,,no,1472 HARWELL LOOP,0.25481612,,,,,,,,,,,,Polygon,30.0194543,-97.8846217,-97.8848483,30.0191662,-97.8843951,30.0197423,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-90,Plum Creek 6H,hoa_open_space,HOA,,no,,0.04044516,,,,,,,,,,,,Polygon,30.0202178,-97.8858532,-97.8860575,30.0200484,-97.8856488,30.0203872,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-91,Plum Creek 6H,hoa_open_space,HOA,,no,,0.085194,,,,,,,,,,,,Polygon,30.0218555,-97.8860748,-97.8862003,30.0217347,-97.8859494,30.0219764,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-92,Plum Creek 6H,hoa_open_space,HOA,,no,,0.07462131,,,,,,,,,,,,Polygon,30.0203442,-97.882339,-97.8825186,30.0202734,-97.8821593,30.020415,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
PARD-PVT-93,Plum Creek 6H,hoa_open_space,HOA,,no,,0.66987861,,,,,,,,,,,,Polygon,30.0212624,-97.8840142,-97.8854336,30.0208925,-97.8825948,30.0216324,Parks.geojson,optional,"Use for site/park/open-space name matching and context. Use GeoJSON geometry, not this CSV, for exact spatial joins."
