trail_id,trail_name_or_area,trail_type,status,material,width,funding,phase,shape_length_source_units,geometry_type,center_lat,center_lon,bbox_west,bbox_south,bbox_east,bbox_north,source_file,dashboard_use,gpt_use_note
PARD-TRL-55,Steeplechase,Vybe,Existing,Asphalt,7,City,1,690.2228634434099,LineString,29.9938037,-97.8588536,-97.8598397,29.9935404,-97.8578674,29.9940671,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-56,Steeplechase,Vybe,Existing,Asphalt,6,City,1,90.82017525372564,LineString,29.993098,-97.8601232,-97.8602542,29.9930497,-97.8599922,29.9931464,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-57,Steeplechase,Vybe,In Review,Asphalt,6,City,1,2202.338238421144,LineString,29.9956499,-97.8607044,-97.861569,29.9931464,-97.8598397,29.9981535,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-58,Steeplechase,Vybe,Existing,Asphalt,6,City,1,300.3300269113435,LineString,29.9947727,-97.8617725,-97.8622019,29.9946879,-97.861343,29.9948575,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-59,Pecan Woods,Vybe,Proposed,Concrete,,Developer,,12739.823034183411,LineString,29.9604913,-97.8263783,-97.832834,29.9514156,-97.8199227,29.9695669,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-61,Brookside,Vybe,Proposed,Concrete,8,City,2,1110.7296799143378,LineString,29.9830485,-97.8563482,-97.8580721,29.982934,-97.8546242,29.9831629,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-62,Plum Creek Trail,Vybe,In Review,Concrete,8,City,1,1473.259249835514,LineString,29.9779957,-97.8455856,-97.8469975,29.9769781,-97.8441736,29.9790133,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-65,Brookside Connector,Vybe,Proposed,Concrete,6,City,2,840.5562340705335,LineString,29.9821509,-97.8553744,-97.8562215,29.9814469,-97.8545273,29.9828548,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-69,Prairie on the Creek,Vybe,In Review,Concrete,,City,1,1277.4743348674176,LineString,29.9918575,-97.8593756,-97.8599922,29.9905686,-97.858759,29.9931464,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-70,Proposed,Vybe,In Review,Concrete,,City,1,587.6372145917288,LineString,29.9877395,-97.8561321,-97.8563882,29.987029,-97.855876,29.98845,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-71,No Easement,Vybe,In Review,Concrete,,City,3,645.9050056140449,LineString,29.9986098,-97.8620628,-97.862805,29.9981535,-97.8613207,29.9990662,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-73,No Easement,Vybe,In Review,Concrete,,City,3,145.1649304999647,LineString,30.0036021,-97.8669073,-97.8669689,30.0034175,-97.8668457,30.0037867,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-74,Remove from Plan,Vybe,Remove from Plan,Concrete,,Developer,,331.5432339786577,LineString,30.0047425,-97.8698129,-97.870336,30.0047193,-97.8692899,30.0047657,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-77,Proposed,Vybe,Proposed,Concrete,,City,2,477.27384914845567,LineString,30.002932,-97.8870461,-97.8877007,30.0027839,-97.8863914,30.0030801,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-79,No Easement,Vybe,In Review,Concrete,,City,3,422.05478045619765,LineString,30.0032465,-97.8663032,-97.8668457,30.0030754,-97.8657606,30.0034175,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-471,Waterleaf,Vybe,Proposed,Concrete,,City,1,3093.046846780774,LineString,29.9667819,-97.8467335,-97.8499357,29.9644285,-97.8435312,29.9691353,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-472,Cool Springs,Vybe,Proposed,Concrete,4,City,,724.113709762021,LineString,29.9650399,-97.850342,-97.8511111,29.9643032,-97.8495728,29.9657766,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-473,Waterleaf,Vybe,In Review,Concrete,8,City,1,265.4050172966077,LineString,29.9701798,-97.8413225,-97.8415411,29.9698798,-97.8411039,29.9704799,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-474,Bunton Reserve,Vybe,Upgrade,Concrete,6,City,,149.61083222264273,LineString,29.9751608,-97.8416265,-97.8418061,29.9750324,-97.841447,29.9752892,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-476,Bunton Reserve,Vybe,Upgrade,Concrete,6,City,,178.6018742695498,LineString,29.974687,-97.8428307,-97.8430944,29.9746,-97.8425669,29.9747739,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-479,,Vybe,In Review,Concrete,,Developer,,4042.0643837159587,LineString,30.0117942,-97.9053984,-97.9093088,30.0097737,-97.901488,30.0138146,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-480,Six Creeks,Vybe,Existing,Concrete,10,Developer,,3349.147328889304,LineString,30.0010266,-97.9016961,-97.903617,29.9979617,-97.8997753,30.0040915,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-481,,Vybe,Proposed,Concrete,,Developer,,835.6128000072707,LineString,29.999368,-97.9067894,-97.9080085,29.9991619,-97.9055702,29.9995742,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-483,,Vybe,Proposed,Concrete,,Developer,,1074.9148456212954,LineString,30.0036548,-97.904967,-97.9055749,30.0029139,-97.9043592,30.0043956,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-484,,Vybe,Proposed,Concrete,,Developer,,1544.4166975364749,LineString,30.001244,-97.9067917,-97.9080085,29.9995742,-97.9055749,30.0029139,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-485,,Vybe,Proposed,Concrete,,Developer,,802.5242485245204,LineString,29.9986149,-97.9086165,-97.9092245,29.9976557,-97.9080085,29.9995742,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-487,,Vybe,Proposed,Concrete,,Developer,,3802.552948803032,LineString,29.9984246,-97.9135911,-97.9179577,29.9958608,-97.9092245,30.0009885,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-488,Talavera,Vybe,Upgrade,Concrete,,Developer,,3935.4826631371884,LineString,29.9971693,-97.8398065,-97.8427573,29.9930412,-97.8368556,30.0012974,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-495,Marketplace,Vybe,Upgrade,Concrete,8,Developer,,1353.6589780492948,LineString,30.0024152,-97.8711117,-97.8717483,30.0006969,-97.8704752,30.0041334,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-496,Seton,Vybe,Upgrade,Concrete,4,Developer,,1637.4707498267667,LineString,30.0097771,-97.8500533,-97.8519567,30.008307,-97.8481499,30.0112473,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-501,,Vybe,Proposed,Concrete,,Developer,,5868.536328985119,LineString,30.0523386,-97.8200428,-97.8229611,30.0461929,-97.8171245,30.0584843,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-502,,Vybe,In Review,Concrete,,Developer,,888.9353917326204,LineString,30.0309688,-97.8761072,-97.8775113,30.0309457,-97.8747031,30.0309918,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-503,Dacy Ln,Vybe,In Review,Concrete,4,City,,2031.0418076433803,LineString,30.0070402,-97.8509468,-97.8536103,30.0056599,-97.8482833,30.0084204,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-504,No Easement,Vybe,Proposed,Concrete,,City,3,9282.766894370094,LineString,30.0301995,-97.8292763,-97.8344761,30.023267,-97.8240765,30.0371321,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-505,Cool Springs,Vybe,In Review,Concrete,,Developer,,3337.4125401817687,LineString,29.9628715,-97.8550113,-97.8589115,29.9599665,-97.8511111,29.9657766,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-506,Main St,Vybe,Existing,Concrete,,Road Project,,2214.970746044417,LineString,29.9727335,-97.8853712,-97.8877289,29.9705357,-97.8830135,29.9749314,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-508,Cromwell,Vybe,Existing,Concrete,5,Developer,,1446.7981246776744,LineString,30.0228024,-97.8744236,-97.8745977,30.0209101,-97.8742494,30.0246947,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-509,Heroes Memorial,Vybe,Existing,Crushed Granite,10,Developer,,569.9666221900734,LineString,30.0287576,-97.8747688,-97.8748446,30.0280159,-97.8746931,30.0294993,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-510,,Vybe,In Review,Concrete,,Developer,,1031.931218690103,LineString,30.0321792,-97.8772314,-97.8778708,30.0309457,-97.8765919,30.0334126,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-511,,Vybe,Proposed,Concrete,,Developer,,2685.6029734130357,LineString,30.0347369,-97.8837749,-97.8877337,30.0339796,-97.879816,30.0354942,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-512,,Vybe,Proposed,Concrete,,Developer,,5861.0293084061705,LineString,30.0340599,-97.8967542,-97.9057746,30.03331,-97.8877337,30.0348097,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-513,,Vybe,Proposed,Concrete,,Developer,,2533.819869961352,LineString,30.0344753,-97.8747439,-97.8747847,30.0309918,-97.8747031,30.0379589,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-514,,Vybe,Proposed,Concrete,,Developer,,4507.386397156269,LineString,30.0371166,-97.873527,-97.879816,30.0354942,-97.8672379,30.038739,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-515,,Vybe,Proposed,Concrete,,Developer,,5765.112346200816,LineString,30.0384222,-97.8654358,-97.8672379,30.0352334,-97.8636337,30.0416111,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-516,,Vybe,Proposed,Concrete,,Developer,,2780.719131716315,LineString,30.0348128,-97.8693213,-97.8694365,30.0309909,-97.8692062,30.0386346,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-517,Remove from Plan,Vybe,Remove from Plan,Concrete,,Developer,,2789.0125954336186,LineString,30.0465779,-97.8696586,-97.8697569,30.0427443,-97.8695603,30.0504115,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-518,Remove from Plan,Vybe,Remove from Plan,Concrete,,Developer,,2710.8570059152707,LineString,30.041767,-97.8726595,-97.8757587,30.0407889,-97.8695603,30.0427451,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-519,Cromwell,Vybe,Existing,Concrete,4,Developer,,1498.825108644928,LineString,30.019066,-97.8734307,-97.8743062,30.017222,-97.8725551,30.0209101,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-520,,Vybe,Proposed,Concrete,,Developer,,3052.099205238317,LineString,29.9651434,-97.895687,-97.899616,29.9631312,-97.891758,29.9671557,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-521,,Vybe,Proposed,Concrete,,Developer,,2384.3976794727605,LineString,30.0117447,-97.9130022,-97.9166956,30.0114572,-97.9093088,30.0120321,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-907,,Vybe,In Review,Concrete,,Developer,,1776.0387988915622,LineString,30.0116554,-97.85498,-97.8570462,30.0107381,-97.8529138,30.0125727,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-908,,Vybe,In Review,Concrete,,Developer,,2752.0245642249165,LineString,30.0209273,-97.8601923,-97.8617446,30.0181202,-97.8586399,30.0237343,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-909,Walton,Vybe,Proposed,Concrete,,Developer,,3381.5726986904597,LineString,29.9844924,-97.8475056,-97.8501655,29.9805789,-97.8448457,29.9884058,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-911,Six Creeks,Vybe,In Review,Concrete,,Road Project,,2052.840412615181,LineString,30.0039921,-97.895016,-97.895982,30.001387,-97.8940501,30.0065972,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-913,Six Creeks,Vybe,Existing,Concrete,10,Developer,,2012.8728695943705,LineString,30.0053939,-97.898629,-97.9012761,30.0040915,-97.895982,30.0066963,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-915,,Vybe,Existing,Concrete,,Developer,,1008.1744131839542,LineString,29.9985761,-97.9045936,-97.9055702,29.9979477,-97.903617,29.9992044,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-917,N Burleson Rd,Vybe,Existing,Concrete,6,City,,4578.8401756291705,LineString,29.9945376,-97.8750954,-97.8773573,29.9889055,-97.8728334,30.0001697,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-919,James Adkins Dr,Vybe,Existing,Concrete,4,City,,1762.262190144078,LineString,30.0025087,-97.8727434,-97.8730534,30.0001697,-97.8724334,30.0048476,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-921,N Burleson,Vybe,Upgrade,Concrete,6,Developer,,403.31547428944606,LineString,30.0004333,-97.8722909,-97.8728334,30.0001697,-97.8717483,30.0006969,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-923,Add to Plan,Vybe,Awaiting Approval,Concrete,8,Developer,,2204.772890589121,LineString,30.0070528,-97.8692778,-97.870206,30.0041444,-97.8683496,30.0099611,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-925,Marketplace Ave,Vybe,Existing,Concrete,6,Developer,,793.5772396883544,LineString,30.0130414,-97.8670383,-97.8675475,30.0121371,-97.8665291,30.0139457,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-931,Dacy Ln,Vybe,In Review,Concrete,5,City,,4311.672857673158,LineString,30.0126875,-97.8436811,-97.8482591,30.0084054,-97.8391032,30.0169696,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-933,,Vybe,In Review,Concrete,,Developer,,468.0631300733141,LineString,30.011708,-97.8524352,-97.8529138,30.0112473,-97.8519567,30.0121686,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-936,Brookside,Vybe,Proposed,Concrete,10,City,2,2901.286545375634,LineString,29.9800601,-97.8612489,-97.8644257,29.9771862,-97.8580721,29.982934,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-938,N Burleson Rd,Vybe,Upgrade,Concrete,6,City,,913.4900363230613,LineString,29.9881122,-97.8769191,-97.8775274,29.9873189,-97.8763108,29.9889055,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-939,Hometown,Vybe,Upgrade,Concrete,6,City,,792.802490234999,LineString,29.9928215,-97.889089,-97.8898045,29.9921881,-97.8883734,29.9934549,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-941,Hometown,Vybe,Upgrade,Concrete,6,City,,1380.7611381564254,LineString,29.9950735,-97.8898603,-97.8904176,29.9934549,-97.889303,29.9966921,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-942,Hometown,Vybe,Upgrade,Concrete,6,City,,812.4687164920051,LineString,29.9977342,-97.8903218,-97.8905507,29.9966921,-97.8900929,29.9987763,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
PARD-TRL-943,Hometown,Vybe,Upgrade,Concrete,6,City,,1145.2067108736694,LineString,30.0000582,-97.8901215,-97.8906706,29.9987763,-97.8895723,30.0013401,VybeTrails.geojson,trail corridor proximity/reference only,Use for trail area/status context. Use GeoJSON geometry and a buffer for exact trail-corridor analysis.
